customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
7590-vhveg,female,0,Yes,No,1,No,no phone service,dsl,no,yes,no,no,no,no,month-to-month,Yes,electronic check,29.85,29.85,No
5575-gnvde,male,0,No,No,34,Yes,no,dsl,yes,no,yes,no,no,no,one year,No,mailed check,56.95,1889.5,No
3668-qpybk,male,0,No,No,2,Yes,no,dsl,yes,yes,no,no,no,no,month-to-month,Yes,mailed check,53.85,108.15,Yes
7795-cfocw,male,0,No,No,45,No,no phone service,dsl,yes,no,yes,yes,no,no,one year,No,bank transfer (automatic),42.3,1840.75,No
9237-hqitu,female,0,No,No,2,Yes,no,fiber optic,no,no,no,no,no,no,month-to-month,Yes,electronic check,70.7,151.65,Yes
9305-cdskc,female,0,No,No,8,Yes,yes,fiber optic,no,no,yes,no,yes,yes,month-to-month,Yes,electronic check,99.65,820.5,Yes
1452-kiovk,male,0,No,Yes,22,Yes,yes,fiber optic,no,yes,no,no,yes,no,month-to-month,Yes,credit card (automatic),89.1,1949.4,No
6713-okomc,female,0,No,No,10,No,no phone service,dsl,yes,no,no,no,no,no,month-to-month,No,mailed check,29.75,301.9,No
7892-pookp,female,0,Yes,No,28,Yes,yes,fiber optic,no,no,yes,yes,yes,yes,month-to-month,Yes,electronic check,104.8,3046.05,Yes
6388-tabgu,male,0,No,Yes,62,Yes,no,dsl,yes,yes,no,no,no,no,one year,No,bank transfer (automatic),56.15,3487.95,No
9763-grskd,male,0,Yes,Yes,13,Yes,no,dsl,yes,no,no,no,no,no,month-to-month,Yes,mailed check,49.95,587.45,No
7469-lkbci,male,0,No,No,16,Yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,No,credit card (automatic),18.95,326.8,No
8091-ttvax,male,0,Yes,No,58,Yes,yes,fiber optic,no,no,yes,no,yes,yes,one year,No,credit card (automatic),100.35,5681.1,No
0280-xjgex,male,0,No,No,49,Yes,yes,fiber optic,no,yes,yes,no,yes,yes,month-to-month,Yes,bank transfer (automatic),103.7,5036.3,Yes
5129-jlpis,male,0,No,No,25,Yes,no,fiber optic,yes,no,yes,yes,yes,yes,month-to-month,Yes,electronic check,105.5,2686.05,No
3655-snqyz,female,0,Yes,Yes,69,Yes,yes,fiber optic,yes,yes,yes,yes,yes,yes,two year,No,credit card (automatic),113.25,7895.15,No
8191-xwszg,female,0,No,No,52,Yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,No,mailed check,20.65,1022.95,No
9959-wofkt,male,0,No,Yes,71,Yes,yes,fiber optic,yes,no,yes,no,yes,yes,two year,No,bank transfer (automatic),106.7,7382.25,No
4190-mfluw,female,0,Yes,Yes,10,Yes,no,dsl,no,no,yes,yes,no,no,month-to-month,No,credit card (automatic),55.2,528.35,Yes
4183-myfrb,female,0,No,No,21,Yes,no,fiber optic,no,yes,yes,no,no,yes,month-to-month,Yes,electronic check,90.05,1862.9,No
8779-qrdmv,male,1,No,No,1,No,no phone service,dsl,no,no,yes,no,no,yes,month-to-month,Yes,electronic check,39.65,39.65,Yes
1680-vdcww,male,0,Yes,No,12,Yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,No,bank transfer (automatic),19.8,202.25,No
